PuntoConteo,Dia,Liviano,Autobuses,C23E,C4E,C5E
500,10/09/2018,22484,207,276,910,934
500,10/09/2019,35766,307,456,956,1113
500,10/10/2015,32916,248,364,890,970
500,10/10/2016,30391,275,326,814,963
500,10/10/2017,35155,333,410,807,1198
500,10/10/2018,25306,262,242,469,723
500,10/10/2019,25328,262,242,469,723
500,10/11/2015,34687,359,493,917,1071
500,10/11/2016,35253,331,404,923,1116
500,10/11/2017,36331,446,479,852,1163
500,10/11/2018,7216,31863,275,371,841
500,10/11/2019,36440,446,479,852,1163
500,10/12/2015,35569,361,474,914,1083
500,10/12/2016,35228,322,456,839,1092
500,10/12/2017,32887,252,297,633,706
500,10/12/2018,31174,345,425,701,989
500,10/12/2019,32986,252,297,633,706
500,11/01/2015,25478,145,310,700,469
500,11/01/2016,32779,231,377,947,930
500,11/01/2017,33358,339,416,834,1109
500,11/01/2018,33164,373,453,774,1111
500,11/01/2019,32971,321,369,895,1229
500,11/02/2015,37772,307,412,1035,940
500,11/02/2016,35027,327,422,965,1000
500,11/02/2017,32848,292,444,808,1072
500,11/02/2018,25104,144,272,591,641
500,11/02/2019,31543,272,386,879,994
500,11/03/2015,38031,302,440,1068,950
500,11/03/2016,37498,397,550,878,1075
500,11/03/2017,32753,255,433,884,1051
500,11/03/2018,26487,148,242,558,686
500,11/03/2019,32582,312,369,850,1030
500,11/04/2015,33164,251,383,840,664
500,11/04/2016,21443,137,277,662,624
500,11/04/2017,22608,233,295,636,845
500,11/04/2018,24596,233,367,667,850
500,11/04/2019,27015,261,335,685,907
500,11/05/2015,33463,252,374,912,853
500,11/05/2016,36089,303,444,972,1073
500,11/05/2017,36576,365,447,935,1140
500,11/05/2018,33233,359,461,780,1122
500,11/05/2019,32502,269,453,868,1079
500,11/06/2015,38319,381,451,1013,956
500,11/06/2016,34279,231,386,892,963
500,11/06/2017,24640,130,251,596,606
500,11/06/2018,28299,277,360,705,987
500,11/06/2019,33913,346,398,892,1201
500,11/07/2015,32470,242,429,980,892
500,11/07/2016,32579,264,354,818,989
500,11/07/2017,35679,360,419,942,1110
500,11/07/2018,30067,369,469,777,1137
500,11/07/2019,36929,351,433,861,1247
500,11/08/2015,34826,341,458,980,940
500,11/08/2016,35345,383,476,806,1090
500,11/08/2017,36588,374,446,802,1167
500,11/08/2018,30947,261,360,811,1056
500,11/08/2019,24720,135,290,577,601
500,11/09/2015,37611,361,484,970,990
500,11/09/2016,27270,147,291,630,564
500,11/09/2017,31568,309,340,823,972
500,11/09/2018,27067,241,345,881,1076
500,11/09/2019,33760,303,456,758,990
500,11/10/2015,24376,163,239,614,572
500,11/10/2016,33848,300,428,942,1079
500,11/10/2017,34241,345,389,864,1162
500,11/10/2018,25875,219,235,451,721
500,11/10/2019,25901,219,235,451,721
500,11/11/2015,34688,355,483,947,1049
500,11/11/2016,35439,383,440,825,1170
500,11/11/2017,33602,303,410,844,1076
500,11/11/2018,8438,24477,128,258,607
500,11/11/2019,33705,303,410,844,1076
500,11/12/2015,38409,416,482,963,1151
500,11/12/2016,32446,190,324,648,709
500,11/12/2017,36261,419,453,727,1002
500,11/12/2018,31085,396,467,799,1136
500,11/12/2019,36370,419,453,727,1002
500,12/01/2015,31985,248,392,930,843
500,12/01/2016,33963,275,430,1032,1036
500,12/01/2017,34074,308,428,880,1257
500,12/01/2018,34519,361,467,782,1167
500,12/01/2019,28858,225,315,845,1089
500,12/02/2015,38040,318,480,1043,925
500,12/02/2016,36554,381,441,878,1055
500,12/02/2017,24609,133,295,609,655
